维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
S1数值	spell_cs:zap	elixir ↔官方 cards.json:elixir	2	cards.json:mana_cost = 2	ours=2 official=2	一致	coverage-enumerate.py (cards.json)
S1数值	unit_cs:Archer	aoe_radius_mt ↔ 官方 area_damage_radius	0	Archer:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	atk_air ↔ 官方 attacks_air	1	Archer:attacks_air = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	atk_ground ↔ 官方 attacks_ground	1	Archer:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	damage ↔ 官方 damage_per_level	107	Archer:damage_per_level = 107	ours=107 official=107	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	Archer:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	death_damage ↔ 官方 death_damage	0	Archer:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	death_spawn_n ↔ 官方 death_spawn_count	0	Archer:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	deploy_ms ↔ 官方 deploy_time	1000	Archer:deploy_time = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	flying ↔ 官方 flying_height	0	Archer:flying_height = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	hit_speed_ms ↔ 官方 hit_speed	900	Archer:hit_speed = 900	ours=900 official=900	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	hp ↔ 官方 hitpoints_per_level	304	Archer:hitpoints_per_level = 304	ours=304 official=304	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	id (本项目自定列)	-	本项目自定：id	ours=26020003	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Archer	key (本项目自定列)	-	本项目自定：key	ours=Archer	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Archer	kind (本项目自定列)	-	本项目自定：kind	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Archer	life_ms ↔ 官方 life_time	0	Archer:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	load_time_ms ↔ 官方 load_time	400	Archer:load_time = 400	ours=400 official=400	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	mass ↔ 官方 mass	3	Archer:mass = 3	ours=3 official=3	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Archer	only_buildings ↔ 官方 target_only_buildings	0	Archer:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	only_towers ↔ 官方 target_only_towers	0	Archer:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	only_troops ↔ 官方 target_only_troops	0	Archer:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	projectile_key ↔ 官方 custom_first_projectile/projectile	ArcherArrow	Archer:custom_first_projectile/projectile = ArcherArrow	ours=ArcherArrow official=ArcherArrow	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	radius_mt ↔ 官方 collision_radius	500	Archer:collision_radius = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	range_mt ↔ 官方 range	5000	Archer:range = 5000	ours=5000 official=5000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	sight_mt ↔ 官方 sight_range	5500	Archer:sight_range = 5500	ours=5500 official=5500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	Archer:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	spawn_limit ↔ 官方 spawn_limit	0	Archer:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	spawn_n ↔ 官方 spawn_number	0	Archer:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	spawn_radius_mt ↔ 官方 spawn_radius	0	Archer:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	speed ↔ 官方 speed	60	Archer:speed = 60	ours=60 official=60	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Archer	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=chr_archer_out	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Archer	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Archer	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Archer	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Archer	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:ArcherArrow	damage ↔ 官方 damage_per_level	107	ArcherArrow:damage_per_level = 107	ours=107 official=107	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:ArcherArrow	id (本项目自定列)	-	本项目自定：id	ours=26020060	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:ArcherArrow	key (本项目自定列)	-	本项目自定：key	ours=ArcherArrow	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:ArcherArrow	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:ArcherArrow	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:ArcherArrow	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	ArcherArrow:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:ArcherArrow	speed ↔ 官方 speed	600	ArcherArrow:speed = 600	ours=600 official=600	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:ArcherArrow	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:ArcherArrow	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:ArcherArrow	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:ArcherArrow	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:ArcherArrow	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:AxeManProjectile	damage ↔ 官方 damage_per_level	169	AxeManProjectile:damage_per_level = 169	ours=169 official=169	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:AxeManProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020080	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:AxeManProjectile	key (本项目自定列)	-	本项目自定：key	ours=AxeManProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:AxeManProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:AxeManProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:AxeManProjectile	radius_mt ↔ 官方 collision_radius	1000	AxeManProjectile:collision_radius = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:AxeManProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	AxeManProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:AxeManProjectile	speed ↔ 官方 speed	550	AxeManProjectile:speed = 550	ours=550 official=550	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:AxeManProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:AxeManProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:AxeManProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:AxeManProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:AxeManProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BabyDragonProjectile	damage ↔ 官方 damage_per_level	160	BabyDragonProjectile:damage_per_level = 160	ours=160 official=160	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BabyDragonProjectile	id (本项目自定列)	-	本项目自定：id	ours=26020067	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BabyDragonProjectile	key (本项目自定列)	-	本项目自定：key	ours=BabyDragonProjectile	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BabyDragonProjectile	kind (本项目自定列)	-	本项目自定：kind	ours=3	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BabyDragonProjectile	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BabyDragonProjectile	radius_mt ↔ 官方 collision_radius	1200	BabyDragonProjectile:collision_radius = 1200	ours=1200 official=1200	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BabyDragonProjectile	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	BabyDragonProjectile:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BabyDragonProjectile	speed ↔ 官方 speed	500	BabyDragonProjectile:speed = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BabyDragonProjectile	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BabyDragonProjectile	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BabyDragonProjectile	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BabyDragonProjectile	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BabyDragonProjectile	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BalloonBomb	aoe_radius_mt ↔ 官方 area_damage_radius	0	BalloonBomb:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	atk_air ↔ 官方 attacks_air	1	BalloonBomb:attacks_air = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	atk_ground ↔ 官方 attacks_ground	1	BalloonBomb:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	death_aoe_radius_mt ↔ 官方 death_damage_radius	3000	BalloonBomb:death_damage_radius = 3000	ours=3000 official=3000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	death_damage ↔ 官方 death_damage	150	BalloonBomb:death_damage = 150	ours=150 official=150	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	death_spawn_n ↔ 官方 death_spawn_count	0	BalloonBomb:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	deploy_ms ↔ 官方 deploy_time	3000	BalloonBomb:deploy_time = 3000	ours=3000 official=3000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	flying ↔ 官方 flying_height	0	BalloonBomb:flying_height = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	hit_speed_ms ↔ 官方 hit_speed	0	BalloonBomb:hit_speed = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	id (本项目自定列)	-	本项目自定：id	ours=26020063	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BalloonBomb	key (本项目自定列)	-	本项目自定：key	ours=BalloonBomb	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BalloonBomb	kind (本项目自定列)	-	本项目自定：kind	ours=1	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BalloonBomb	life_ms ↔ 官方 life_time	0	BalloonBomb:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	load_time_ms ↔ 官方 load_time	0	BalloonBomb:load_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	mass ↔ 官方 mass	0	BalloonBomb:mass = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BalloonBomb	only_buildings ↔ 官方 target_only_buildings	0	BalloonBomb:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	only_towers ↔ 官方 target_only_towers	0	BalloonBomb:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	only_troops ↔ 官方 target_only_troops	0	BalloonBomb:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	radius_mt ↔ 官方 collision_radius	450	BalloonBomb:collision_radius = 450	ours=450 official=450	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	range_mt ↔ 官方 range	0	BalloonBomb:range = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	sight_mt ↔ 官方 sight_range	0	BalloonBomb:sight_range = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	BalloonBomb:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	spawn_limit ↔ 官方 spawn_limit	0	BalloonBomb:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	spawn_n ↔ 官方 spawn_number	0	BalloonBomb:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	spawn_radius_mt ↔ 官方 spawn_radius	0	BalloonBomb:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	speed ↔ 官方 speed	0	BalloonBomb:speed = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:BalloonBomb	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BalloonBomb	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BalloonBomb	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BalloonBomb	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:BalloonBomb	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Barbarian	aoe_radius_mt ↔ 官方 area_damage_radius	0	Barbarian:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	atk_air ↔ 官方 attacks_air	0	Barbarian:attacks_air = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	atk_ground ↔ 官方 attacks_ground	1	Barbarian:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	damage ↔ 官方 damage_per_level	192	Barbarian:damage_per_level = 192	ours=192 official=192	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	Barbarian:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	death_damage ↔ 官方 death_damage	0	Barbarian:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	death_spawn_n ↔ 官方 death_spawn_count	0	Barbarian:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	deploy_ms ↔ 官方 deploy_time	1000	Barbarian:deploy_time = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	flying ↔ 官方 flying_height	0	Barbarian:flying_height = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	hit_speed_ms ↔ 官方 hit_speed	1300	Barbarian:hit_speed = 1300	ours=1300 official=1300	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	hp ↔ 官方 hitpoints_per_level	670	Barbarian:hitpoints_per_level = 670	ours=670 official=670	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	id (本项目自定列)	-	本项目自定：id	ours=26020016	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Barbarian	key (本项目自定列)	-	本项目自定：key	ours=Barbarian	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Barbarian	kind (本项目自定列)	-	本项目自定：kind	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Barbarian	life_ms ↔ 官方 life_time	0	Barbarian:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	load_time_ms ↔ 官方 load_time	900	Barbarian:load_time = 900	ours=900 official=900	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	mass ↔ 官方 mass	4	Barbarian:mass = 4	ours=4 official=4	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Barbarian	only_buildings ↔ 官方 target_only_buildings	0	Barbarian:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	only_towers ↔ 官方 target_only_towers	0	Barbarian:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	only_troops ↔ 官方 target_only_troops	0	Barbarian:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	radius_mt ↔ 官方 collision_radius	500	Barbarian:collision_radius = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	range_mt ↔ 官方 range	700	Barbarian:range = 700	ours=700 official=700	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	sight_mt ↔ 官方 sight_range	5500	Barbarian:sight_range = 5500	ours=5500 official=5500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	Barbarian:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	spawn_limit ↔ 官方 spawn_limit	0	Barbarian:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	spawn_n ↔ 官方 spawn_number	0	Barbarian:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	spawn_radius_mt ↔ 官方 spawn_radius	0	Barbarian:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	speed ↔ 官方 speed	60	Barbarian:speed = 60	ours=60 official=60	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Barbarian	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=chr_barbarian_out	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Barbarian	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Barbarian	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Barbarian	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Barbarian	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Bat	aoe_radius_mt ↔ 官方 area_damage_radius	0	Bat:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	atk_air ↔ 官方 attacks_air	1	Bat:attacks_air = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	atk_ground ↔ 官方 attacks_ground	1	Bat:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	damage ↔ 官方 damage_per_level	81	Bat:damage_per_level = 81	ours=81 official=81	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	Bat:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	death_damage ↔ 官方 death_damage	0	Bat:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	death_spawn_n ↔ 官方 death_spawn_count	0	Bat:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	deploy_ms ↔ 官方 deploy_time	1000	Bat:deploy_time = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	flying ↔ 官方 flying_height	1	Bat:flying_height = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	hit_speed_ms ↔ 官方 hit_speed	1300	Bat:hit_speed = 1300	ours=1300 official=1300	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	hp ↔ 官方 hitpoints_per_level	81	Bat:hitpoints_per_level = 81	ours=81 official=81	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:Bat	id (本项目自定列)	-	本项目自定：id	ours=26020045	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Bat	key (本项目自定列)	-	本项目自定：key	ours=Bat	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:Bat	kind (本项目自定列)	-	本项目自定：kind	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
