维度	实体	载体/路径	出处	状态数	判据类型	归属片
D1资源	building_tower_out	client/Assets/Resources/Sprites/Towers/building_tower_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	building_tower_out	cr-assets-png/assets/sc/building_tower_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	building_xbow_out	client/Assets/Resources/Sprites/Buildings/building_xbow_out	参考规格.md §6 / ResPaths.cs	21	脚本断言	AE1-D1
D1资源	building_xbow_out	client/Assets/Resources/Sprites/Buildings/building_xbow_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	building_xbow_out	cr-assets-png/assets/sc/building_xbow_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	button_click_02	client/Assets/Resources/Sound/SFX/Ui/button_click_02.ogg	参考规格.md §7 S27 / AudioPaths.cs	1	脚本断言	AE1-D1
D1资源	chr_archer_out	client/Assets/Resources/Sprites/Units/chr_archer_out	参考规格.md §6 / ResPaths.cs	252	脚本断言	AE1-D1
D1资源	chr_archer_out	client/Assets/Resources/Sprites/Units/chr_archer_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_archer_out	cr-assets-png/assets/sc/chr_archer_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_axe_man_out	client/Assets/Resources/Sprites/Units/chr_axe_man_out	参考规格.md §6 / ResPaths.cs	360	脚本断言	AE1-D1
D1资源	chr_axe_man_out	client/Assets/Resources/Sprites/Units/chr_axe_man_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_axe_man_out	cr-assets-png/assets/sc/chr_axe_man_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_baby_dragon_out	client/Assets/Resources/Sprites/Units/chr_baby_dragon_out	参考规格.md §6 / ResPaths.cs	651	脚本断言	AE1-D1
D1资源	chr_baby_dragon_out	client/Assets/Resources/Sprites/Units/chr_baby_dragon_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_baby_dragon_out	cr-assets-png/assets/sc/chr_baby_dragon_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_balloon_out	client/Assets/Resources/Sprites/Units/chr_balloon_out	参考规格.md §6 / ResPaths.cs	10	脚本断言	AE1-D1
D1资源	chr_balloon_out	client/Assets/Resources/Sprites/Units/chr_balloon_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_balloon_out	cr-assets-png/assets/sc/chr_balloon_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_bandit_out	client/Assets/Resources/Sprites/Units/chr_bandit_out	参考规格.md §6 / ResPaths.cs	325	脚本断言	AE1-D1
D1资源	chr_bandit_out	client/Assets/Resources/Sprites/Units/chr_bandit_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_bandit_out	cr-assets-png/assets/sc/chr_bandit_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_barbarian_out	client/Assets/Resources/Sprites/Units/chr_barbarian_out	参考规格.md §6 / ResPaths.cs	1029	脚本断言	AE1-D1
D1资源	chr_barbarian_out	client/Assets/Resources/Sprites/Units/chr_barbarian_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_barbarian_out	cr-assets-png/assets/sc/chr_barbarian_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_bats_out	client/Assets/Resources/Sprites/Units/chr_bats_out	参考规格.md §6 / ResPaths.cs	90	脚本断言	AE1-D1
D1资源	chr_bats_out	client/Assets/Resources/Sprites/Units/chr_bats_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_bats_out	cr-assets-png/assets/sc/chr_bats_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_battle_ram_out	client/Assets/Resources/Sprites/Units/chr_battle_ram_out	参考规格.md §6 / ResPaths.cs	243	脚本断言	AE1-D1
D1资源	chr_battle_ram_out	client/Assets/Resources/Sprites/Units/chr_battle_ram_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_battle_ram_out	cr-assets-png/assets/sc/chr_battle_ram_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_black_knight_out	cr-assets-png/assets/sc/chr_black_knight_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_bomber_out	client/Assets/Resources/Sprites/Units/chr_bomber_out	参考规格.md §6 / ResPaths.cs	432	脚本断言	AE1-D1
D1资源	chr_bomber_out	client/Assets/Resources/Sprites/Units/chr_bomber_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_bomber_out	cr-assets-png/assets/sc/chr_bomber_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_bowler_out	client/Assets/Resources/Sprites/Units/chr_bowler_out	参考规格.md §6 / ResPaths.cs	486	脚本断言	AE1-D1
D1资源	chr_bowler_out	client/Assets/Resources/Sprites/Units/chr_bowler_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_bowler_out	cr-assets-png/assets/sc/chr_bowler_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_dark_witch_out	cr-assets-png/assets/sc/chr_dark_witch_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_electro_wizard_out	client/Assets/Resources/Sprites/Units/chr_electro_wizard_out	参考规格.md §6 / ResPaths.cs	301	脚本断言	AE1-D1
D1资源	chr_electro_wizard_out	client/Assets/Resources/Sprites/Units/chr_electro_wizard_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_electro_wizard_out	cr-assets-png/assets/sc/chr_electro_wizard_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_fire_firespirit_out	client/Assets/Resources/Sprites/Units/chr_fire_firespirit_out	参考规格.md §6 / ResPaths.cs	82	脚本断言	AE1-D1
D1资源	chr_fire_firespirit_out	client/Assets/Resources/Sprites/Units/chr_fire_firespirit_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_fire_firespirit_out	cr-assets-png/assets/sc/chr_fire_firespirit_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_flying_machine_out	cr-assets-png/assets/sc/chr_flying_machine_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_giant_out	client/Assets/Resources/Sprites/Units/chr_giant_out	参考规格.md §6 / ResPaths.cs	468	脚本断言	AE1-D1
D1资源	chr_giant_out	client/Assets/Resources/Sprites/Units/chr_giant_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_giant_out	cr-assets-png/assets/sc/chr_giant_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_giant_skeleton_out	client/Assets/Resources/Sprites/Units/chr_giant_skeleton_out	参考规格.md §6 / ResPaths.cs	450	脚本断言	AE1-D1
D1资源	chr_giant_skeleton_out	client/Assets/Resources/Sprites/Units/chr_giant_skeleton_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_giant_skeleton_out	cr-assets-png/assets/sc/chr_giant_skeleton_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_goblin_archer_out	client/Assets/Resources/Sprites/Units/chr_goblin_archer_out	参考规格.md §6 / ResPaths.cs	342	脚本断言	AE1-D1
D1资源	chr_goblin_archer_out	client/Assets/Resources/Sprites/Units/chr_goblin_archer_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_goblin_archer_out	cr-assets-png/assets/sc/chr_goblin_archer_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_goblin_blowdart_out	client/Assets/Resources/Sprites/Units/chr_goblin_blowdart_out	参考规格.md §6 / ResPaths.cs	252	脚本断言	AE1-D1
D1资源	chr_goblin_blowdart_out	client/Assets/Resources/Sprites/Units/chr_goblin_blowdart_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_goblin_blowdart_out	cr-assets-png/assets/sc/chr_goblin_blowdart_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_goblin_out	client/Assets/Resources/Sprites/Units/chr_goblin_out	参考规格.md §6 / ResPaths.cs	288	脚本断言	AE1-D1
D1资源	chr_goblin_out	client/Assets/Resources/Sprites/Units/chr_goblin_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_goblin_out	cr-assets-png/assets/sc/chr_goblin_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_goblin_referee_out	cr-assets-png/assets/sc/chr_goblin_referee_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_golem_out	cr-assets-png/assets/sc/chr_golem_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_golemite_out	cr-assets-png/assets/sc/chr_golemite_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_hog_rider_out	client/Assets/Resources/Sprites/Units/chr_hog_rider_out	参考规格.md §6 / ResPaths.cs	342	脚本断言	AE1-D1
D1资源	chr_hog_rider_out	client/Assets/Resources/Sprites/Units/chr_hog_rider_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_hog_rider_out	cr-assets-png/assets/sc/chr_hog_rider_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_ice_spirits_out	client/Assets/Resources/Sprites/Units/chr_ice_spirits_out	参考规格.md §6 / ResPaths.cs	82	脚本断言	AE1-D1
D1资源	chr_ice_spirits_out	client/Assets/Resources/Sprites/Units/chr_ice_spirits_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_ice_spirits_out	cr-assets-png/assets/sc/chr_ice_spirits_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_ice_wizard_out	client/Assets/Resources/Sprites/Units/chr_ice_wizard_out	参考规格.md §6 / ResPaths.cs	335	脚本断言	AE1-D1
D1资源	chr_ice_wizard_out	client/Assets/Resources/Sprites/Units/chr_ice_wizard_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_ice_wizard_out	cr-assets-png/assets/sc/chr_ice_wizard_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_knight_out	client/Assets/Resources/Sprites/Units/chr_knight_out	参考规格.md §6 / ResPaths.cs	486	脚本断言	AE1-D1
D1资源	chr_knight_out	client/Assets/Resources/Sprites/Units/chr_knight_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_knight_out	cr-assets-png/assets/sc/chr_knight_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_lava_hound_out	client/Assets/Resources/Sprites/Units/chr_lava_hound_out	参考规格.md §6 / ResPaths.cs	306	脚本断言	AE1-D1
D1资源	chr_lava_hound_out	client/Assets/Resources/Sprites/Units/chr_lava_hound_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_lava_hound_out	cr-assets-png/assets/sc/chr_lava_hound_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_lava_pups_out	client/Assets/Resources/Sprites/Units/chr_lava_pups_out	参考规格.md §6 / ResPaths.cs	163	脚本断言	AE1-D1
D1资源	chr_lava_pups_out	client/Assets/Resources/Sprites/Units/chr_lava_pups_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_lava_pups_out	client/Assets/Resources/Sprites/Units/chr_lava_pups_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_lava_pups_out	cr-assets-png/assets/sc/chr_lava_pups_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_mega_knight_out	client/Assets/Resources/Sprites/Units/chr_mega_knight_out	参考规格.md §6 / ResPaths.cs	619	脚本断言	AE1-D1
D1资源	chr_mega_knight_out	client/Assets/Resources/Sprites/Units/chr_mega_knight_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_mega_knight_out	cr-assets-png/assets/sc/chr_mega_knight_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_mega_minion_out	client/Assets/Resources/Sprites/Units/chr_mega_minion_out	参考规格.md §6 / ResPaths.cs	252	脚本断言	AE1-D1
D1资源	chr_mega_minion_out	client/Assets/Resources/Sprites/Units/chr_mega_minion_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_mega_minion_out	cr-assets-png/assets/sc/chr_mega_minion_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_miner_out	client/Assets/Resources/Sprites/Units/chr_miner_out	参考规格.md §6 / ResPaths.cs	415	脚本断言	AE1-D1
D1资源	chr_miner_out	client/Assets/Resources/Sprites/Units/chr_miner_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_miner_out	cr-assets-png/assets/sc/chr_miner_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_mini_pekka_out	client/Assets/Resources/Sprites/Units/chr_mini_pekka_out	参考规格.md §6 / ResPaths.cs	416	脚本断言	AE1-D1
D1资源	chr_mini_pekka_out	client/Assets/Resources/Sprites/Units/chr_mini_pekka_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_mini_pekka_out	cr-assets-png/assets/sc/chr_mini_pekka_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_minion_out	client/Assets/Resources/Sprites/Units/chr_minion_out	参考规格.md §6 / ResPaths.cs	270	脚本断言	AE1-D1
D1资源	chr_minion_out	client/Assets/Resources/Sprites/Units/chr_minion_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_minion_out	cr-assets-png/assets/sc/chr_minion_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_movingcannon_out	client/Assets/Resources/Sprites/Units/chr_movingcannon_out	参考规格.md §6 / ResPaths.cs	145	脚本断言	AE1-D1
D1资源	chr_movingcannon_out	client/Assets/Resources/Sprites/Units/chr_movingcannon_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_movingcannon_out	cr-assets-png/assets/sc/chr_movingcannon_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_musketeer_out	client/Assets/Resources/Sprites/Units/chr_musketeer_out	参考规格.md §6 / ResPaths.cs	414	脚本断言	AE1-D1
D1资源	chr_musketeer_out	client/Assets/Resources/Sprites/Units/chr_musketeer_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_musketeer_out	cr-assets-png/assets/sc/chr_musketeer_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_pekka_out	client/Assets/Resources/Sprites/Units/chr_pekka_out	参考规格.md §6 / ResPaths.cs	396	脚本断言	AE1-D1
D1资源	chr_pekka_out	client/Assets/Resources/Sprites/Units/chr_pekka_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_pekka_out	cr-assets-png/assets/sc/chr_pekka_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_prince_out	client/Assets/Resources/Sprites/Units/chr_prince_out	参考规格.md §6 / ResPaths.cs	522	脚本断言	AE1-D1
D1资源	chr_prince_out	client/Assets/Resources/Sprites/Units/chr_prince_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_prince_out	cr-assets-png/assets/sc/chr_prince_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_princess_out	client/Assets/Resources/Sprites/Units/chr_princess_out	参考规格.md §6 / ResPaths.cs	748	脚本断言	AE1-D1
D1资源	chr_princess_out	client/Assets/Resources/Sprites/Units/chr_princess_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_princess_out	cr-assets-png/assets/sc/chr_princess_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_rage_barbarian_out	cr-assets-png/assets/sc/chr_rage_barbarian_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_royal_giant_out	client/Assets/Resources/Sprites/Units/chr_royal_giant_out	参考规格.md §6 / ResPaths.cs	477	脚本断言	AE1-D1
D1资源	chr_royal_giant_out	client/Assets/Resources/Sprites/Units/chr_royal_giant_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_royal_giant_out	cr-assets-png/assets/sc/chr_royal_giant_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_skeleton_balloon_out	cr-assets-png/assets/sc/chr_skeleton_balloon_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_skeleton_out	client/Assets/Resources/Sprites/Units/chr_skeleton_out	参考规格.md §6 / ResPaths.cs	117	脚本断言	AE1-D1
D1资源	chr_skeleton_out	client/Assets/Resources/Sprites/Units/chr_skeleton_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_skeleton_out	cr-assets-png/assets/sc/chr_skeleton_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_skeleton_warrior_out	cr-assets-png/assets/sc/chr_skeleton_warrior_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_snowman_out	cr-assets-png/assets/sc/chr_snowman_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_valkyrie_out	client/Assets/Resources/Sprites/Units/chr_valkyrie_out	参考规格.md §6 / ResPaths.cs	379	脚本断言	AE1-D1
D1资源	chr_valkyrie_out	client/Assets/Resources/Sprites/Units/chr_valkyrie_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_valkyrie_out	cr-assets-png/assets/sc/chr_valkyrie_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_witch_out	client/Assets/Resources/Sprites/Units/chr_witch_out	参考规格.md §6 / ResPaths.cs	253	脚本断言	AE1-D1
D1资源	chr_witch_out	client/Assets/Resources/Sprites/Units/chr_witch_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_witch_out	cr-assets-png/assets/sc/chr_witch_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_wizard_out	client/Assets/Resources/Sprites/Units/chr_wizard_out	参考规格.md §6 / ResPaths.cs	312	脚本断言	AE1-D1
D1资源	chr_wizard_out	client/Assets/Resources/Sprites/Units/chr_wizard_out	unit_cs.txt:sprite_dir / 参考规格.md §6	1	脚本断言	AE1-D1
D1资源	chr_wizard_out	cr-assets-png/assets/sc/chr_wizard_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	chr_zap_machine_out	cr-assets-png/assets/sc/chr_zap_machine_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	cr-api-data	原版资源/cr-api-data	参考规格.md §9	73	参考物比对	AE1-D1
D1资源	cr-assets-png	原版资源/cr-assets-png	参考规格.md §9	21090	参考物比对	AE1-D1
D1资源	cr-sfx	原版资源/cr-sfx	参考规格.md §9	2984	参考物比对	AE1-D1
D1资源	cr-sim	原版资源/cr-sim	参考规格.md §9	256	参考物比对	AE1-D1
D1资源	debug_out	cr-assets-png/assets/sc/debug_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	deploy_timer_tick_01v4	client/Assets/Resources/Sound/SFX/CountdownTick/deploy_timer_tick_01v4.ogg	参考规格.md §7 S27 / AudioPaths.cs	1	脚本断言	AE1-D1
D1资源	effects_out	cr-assets-png/assets/sc/effects_out	参考规格.md §9 / cr-assets-png	2	参考物比对	AE1-D1
D1资源	enemy_summon_01	client/Assets/Resources/Sound/SFX/EnemySummon/enemy_summon_01.ogg	参考规格.md §7 S27 / AudioPaths.cs	1	脚本断言	AE1-D1
D1资源	frame_002	client/Assets/Resources/Sprites/Ui/Buttons/ui_out/frame_002.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_004	client/Assets/Resources/Sprites/Ui/Buttons/ui_out/frame_004.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_005	client/Assets/Resources/Sprites/Ui/Buttons/ui_out/frame_005.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_011	client/Assets/Resources/Sprites/Ui/Slots/ui_out/frame_011.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_014	client/Assets/Resources/Sprites/Ui/Buttons/ui_out/frame_014.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_015	client/Assets/Resources/Sprites/Ui/Bars/loading_out/frame_015.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_015	client/Assets/Resources/Sprites/Ui/Buttons/ui_out/frame_015.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_028	client/Assets/Resources/Sprites/Ui/Icons/loading_out/frame_028.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_042	client/Assets/Resources/Sprites/Ui/Icons/ui_out/frame_042.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_043	client/Assets/Resources/Sprites/Ui/Slots/ui_out/frame_043.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_050	client/Assets/Resources/Sprites/Ui/Icons/ui_out/frame_050.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_054	client/Assets/Resources/Sprites/Ui/Slots/ui_out/frame_054.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_069	client/Assets/Resources/Sprites/Ui/Bars/ui_out/frame_069.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_070	client/Assets/Resources/Sprites/Ui/Bars/ui_out/frame_070.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_075	client/Assets/Resources/Sprites/Ui/Icons/ui_out/frame_075.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_099	client/Assets/Resources/Sprites/Ui/Icons/ui_out/frame_099.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_108	client/Assets/Resources/Sprites/Ui/Panels/ui_battle_end_out/frame_108.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_109	client/Assets/Resources/Sprites/Ui/Icons/ui_battle_end_out/frame_109.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_155	client/Assets/Resources/Sprites/Ui/Bars/ui_out/frame_155.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_156	client/Assets/Resources/Sprites/Ui/Bars/ui_out/frame_156.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_157	client/Assets/Resources/Sprites/Ui/Bars/ui_out/frame_157.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_158	client/Assets/Resources/Sprites/Ui/Bars/ui_out/frame_158.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_159	client/Assets/Resources/Sprites/Ui/Icons/ui_out/frame_159.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_160	client/Assets/Resources/Sprites/Ui/Bars/ui_out/frame_160.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_161	client/Assets/Resources/Sprites/Ui/Bars/ui_out/frame_161.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_162	client/Assets/Resources/Sprites/Ui/Bars/ui_out/frame_162.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_163	client/Assets/Resources/Sprites/Ui/Buttons/ui_out/frame_163.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_164	client/Assets/Resources/Sprites/Ui/Icons/ui_out/frame_164.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_165	client/Assets/Resources/Sprites/Ui/Buttons/ui_out/frame_165.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_166	client/Assets/Resources/Sprites/Ui/Buttons/ui_out/frame_166.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_170	client/Assets/Resources/Sprites/Ui/Icons/ui_out/frame_170.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_171	client/Assets/Resources/Sprites/Ui/Icons/ui_out/frame_171.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_187	client/Assets/Resources/Sprites/Ui/Icons/ui_out/frame_187.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_188	client/Assets/Resources/Sprites/Ui/Icons/ui_out/frame_188.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_193	client/Assets/Resources/Sprites/Ui/Panels/ui_out/frame_193.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
D1资源	frame_195	client/Assets/Resources/Sprites/Ui/Icons/ui_battle_end_out/frame_195.png	ResPaths.cs (UiFrame) / copy-ui-assets.py	2	脚本断言	AE1-D1
